index,RA,DEC,n419 flux (ujy),n419 flux err (ujy),rg flux (ujy),rg flux err (ujy),g flux (ujy),g flux err (ujy),r flux (ujy),r flux err (ujy),i flux (ujy),i flux err (ujy),z flux (ujy),z flux err (ujy),n501 flux (ujy),n501 flux err (ujy),estimated line flux (cgs),estimated EW_rf (A),estimated EW_rf error (A)
101249,14.633994765193158,-0.0678340317941016,0.60046345,0.04849521,0.23593898,0.02551761,0.22308728,0.015825305,0.19629173,0.01614418,3.6307804e-07,0.09607353,3.6307804e-07,0.156134,0.11127565,0.045424715,4.758452535894041e-17,49.72642781322471,11.306310079519394
101505,15.824316475017884,-0.0662617424226089,0.52108145,0.034024153,0.19925793,0.02074736,0.17076762,0.011306459,0.12003606,0.011572659,0.19630341,0.08030468,0.10203807,0.11185796,0.12677363,0.03149597,4.201040179427039e-17,52.239261643128955,10.76069027075991
101539,15.828473199999074,-0.0656824566745428,0.5882381,0.03386663,0.13210866,0.01632774,0.13605566,0.011223347,0.14552248,0.011566012,0.038419247,0.080358125,0.19294818,0.11196339,0.18163252,0.031527516,5.954251275542432e-17,133.58551637252253,25.48495710556904
101663,14.289302176128167,-0.0643054662674712,0.3993689,0.046939727,0.044889957,0.021631146,0.048748303,0.015814098,0.058854222,0.016290616,3.6307804e-07,0.09688196,3.6307804e-07,0.15296854,0.037038002,0.043882795,4.627319601450595e-17,667.3540941859898,879.4765381162173
101673,14.589891295852391,-0.0642329381371,0.39755332,0.04615218,0.086084075,0.023279987,0.084910415,0.01519498,0.082289115,0.015663689,3.6307804e-07,0.094998725,3.6307804e-07,0.15515253,0.14496525,0.045452222,4.065876890852492e-17,142.75988357096765,57.84557629804063
101689,14.833137635493884,-0.0646700392551771,0.7789027,0.047272403,0.14005029,0.022643358,0.11089219,0.015023991,0.044274442,0.015523679,0.03991285,0.09743754,3.6307804e-07,0.15731594,3.6307804e-07,0.04280821,8.339491915114832e-17,203.33388942280175,50.662546825530086
101861,14.855228448230717,-0.0634415210540044,0.5128616,0.04506774,0.21953005,0.026935417,0.19191223,0.015130746,0.14115489,0.015146769,3.6307804e-07,0.091298506,3.6307804e-07,0.1575097,0.046918992,0.042448875,3.8291099029791603e-17,42.44692130620134,11.286461111958944
102184,15.446390172636068,-0.0609866035060342,0.42795694,0.046112932,0.21480644,0.01831084,0.26798543,0.015614954,0.44421017,0.016008325,0.47038338,0.089778356,0.3681859,0.1623464,0.28072914,0.04399417,2.78243745132414e-17,31.085448408864682,8.740435733549809
102359,14.62114014620552,-0.0593841122719632,0.48034626,0.047234833,0.06167339,0.024161175,0.059814434,0.015442951,0.055774763,0.01596564,3.6307804e-07,0.08770312,0.31823167,0.1576063,0.047996003,0.046495028,5.465298337753666e-17,441.2718657471194,352.430479948553
102393,15.39144054610636,-0.0603193446698719,1.9204764,0.047429044,0.57088256,0.028229458,0.5127042,0.016444096,0.40106925,0.01636389,0.5520202,0.08876438,3.6307804e-07,0.15485877,0.41616508,0.045146793,1.761741325726357e-16,81.46988952094502,7.778547287090797
